ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,DIRECTORY,EDITION,PAGE,GRID_REFERENCE_X,GRID_REFERENCE_Y,LIGHT_CONDITION,LIGHT_CONDITION_DESC,NODE_ID_x,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,NODE_ID_y,NODE_TYPE,AMG_X,AMG_Y,LG_AREA_NAME,REGION_NAME,DEG_URBAN_NAME,LATITUDE,LONGITUDE,POSTCODE
22002029624,2/08/2002,19.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,MEL,40.0,39,D,3.0,5,Dark No street lights,4127,4,5,0,2,0,3,1,5,Not at intersection,3,100,4127.0,N,2479848.564,2411570.258,BRIMBANK,METROPOLITAN NORTH WEST REGION,Metropolitan Excluding CBD,-37.79665,144.77119,3030.0
22002034029,8/10/2002,22.30.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,90,F,3.0,5,Dark No street lights,159236,1,2,1,0,0,1,1,5,Not at intersection,2,100,159236.0,N,2313106.007,2377462.155,MOYNE,SOUTH WESTERN REGION,Country,-38.08532,142.86956,3272.0
22002034033,23/09/2002,19.40.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,90,B,3.0,5,Dark No street lights,159237,1,1,0,1,0,0,1,5,Not at intersection,3,100,159237.0,N,2291509.677,2376929.427,MOYNE,SOUTH WESTERN REGION,Country,-38.08552,142.62333,3264.0
22002035320,12/10/2002,11.00.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,585,U,2.0,1,Day,151124,1,1,1,0,0,0,2,5,Not at intersection,2,100,151124.0,N,2439930.497,2447243.623,MOORABOOL,WESTERN REGION,Small Towns,-37.4735,144.32083,3458.0
22002036158,21/09/2002,10.15.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,100,H,6.0,1,Day,159244,1,4,4,0,0,0,1,5,Not at intersection,2,100,159244.0,N,2363324.378,2301130.691,COLAC OTWAY,SOUTH WESTERN REGION,Country,-38.78152,143.42752,3238.0
22002038033,7/11/2002,07.00.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,73,C,2.0,2,Dusk/Dawn,159257,1,1,0,1,0,0,1,5,Not at intersection,3,100,159257.0,N,2242702.904,2435394.224,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,-37.54674,142.08766,3314.0
22002039295,21/11/2002,18.00.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,554,G,9.0,1,Day,182079,1,1,0,1,0,0,1,5,Not at intersection,3,50,182079.0,N,2317267.562,2466174.216,ARARAT,WESTERN REGION,Other Towns,-37.287009999999995,142.93888,3377.0
22002039855,28/11/2002,20.35.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,72,E,4.0,5,Dark No street lights,159268,1,1,1,0,0,0,1,4,Multiple intersection,2,100,159268.0,N,2216366.154,2425024.422,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,-37.632490000000004,141.78581,3300.0
22002040382,3/12/2002,00.20.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,MEL,40.0,25,A,11.0,5,Dark No street lights,141935,2,2,1,1,0,0,1,5,Not at intersection,2,100,141935.0,N,2478411.78,2413378.372,BRIMBANK,METROPOLITAN NORTH WEST REGION,Country,-37.78032,144.75493,3023.0
22002040382,3/12/2002,00.20.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,MEL,40.0,25,A,11.0,5,Dark No street lights,141935,2,2,1,1,0,0,1,5,Not at intersection,2,100,141935.0,N,2478411.78,2413378.372,BRIMBANK,METROPOLITAN NORTH WEST REGION,Metropolitan Excluding CBD,-37.78032,144.75493,3023.0
22002041491,12/12/2002,06.50.00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL                        ,VCS,9.0,71,C,2.0,2,Dusk/Dawn,159282,1,1,0,1,0,0,1,5,Not at intersection,3,100,159282.0,N,2156800.504,2430719.613,GLENELG,SOUTH WESTERN REGION,Country,-37.5612,141.11411,3311.0
22002041638,26/08/2002,06.15.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,435,G,5.0,2,Dusk/Dawn,151180,1,1,0,1,0,0,2,5,Not at intersection,3,100,151180.0,N,2451170.827,2417118.889,MOORABOOL,WESTERN REGION,Country,-37.74559,144.44593,3340.0
22003000056,22/12/2002,14.45.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,58,G,9.0,1,Day,180720,1,1,1,0,0,0,1,5,Not at intersection,2,100,180720.0,N,2404829.887,2450155.929,HEPBURN,WESTERN REGION,Country,-37.444340000000004,143.92436999999998,3363.0
22003000061,18/12/2002,23.10.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9.0,75,F,9.0,5,Dark No street lights,158332,1,2,0,1,0,1,2,5,Not at intersection,3,100,158332.0,N,2351433.263,2390893.009,CORANGAMITE,SOUTH WESTERN REGION,Country,-37.97128,143.30908,3324.0
22003001054,27/12/2002,10.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,76,E,6.0,1,Day,151198,1,1,1,0,0,0,2,5,Not at intersection,2,100,151198.0,N,2390573.764,2412778.806,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.779540000000004,143.75775,3352.0
22003001311,4/01/2003,11.15.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,76,D,5.0,1,Day,17457,1,1,1,0,0,0,1,5,Not at intersection,2,100,17457.0,N,2385495.966,2418732.728,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.72529,143.70103,3351.0
22003002075,5/01/2003,01.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,72,E,9.0,5,Dark No street lights,17067,1,3,0,2,0,1,2,5,Not at intersection,3,100,17067.0,N,2215669.461,2389685.087,GLENELG,SOUTH WESTERN REGION,Country,-37.950509999999994,141.76431000000002,3303.0
22003002295,5/01/2003,22.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,578,D,5.0,5,Dark No street lights,22785,1,1,1,0,0,0,2,5,Not at intersection,2,100,22785.0,N,2399281.87,2427056.251,BALLARAT,WESTERN REGION,Country,-37.65189,143.85853999999998,3357.0
22003002421,11/01/2003,22.55.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,53,H,3.0,5,Dark No street lights,182120,1,1,0,1,0,0,1,5,Not at intersection,3,100,182120.0,N,2182619.713,2480335.072,WEST WIMMERA,WESTERN REGION,Country,-37.123540000000006,141.42723999999998,3317.0
22003003017,15/01/2003,22.00.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9.0,551,S,6.0,9,Unknown,182124,1,2,0,2,0,0,1,5,Not at intersection,3,100,182124.0,N,2344363.332,2542606.053,NORTHERN GRAMPIANS,WESTERN REGION,Country,-36.6032,143.26018,3478.0
22003003191,18/01/2003,02.30.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,76,H,4.0,5,Dark No street lights,182126,1,1,1,0,0,0,1,5,Not at intersection,2,100,182126.0,N,2411808.524,2426042.408,MOORABOOL,WESTERN REGION,Country,-37.6623,144.00037,3352.0
22003004439,15/12/2002,09.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,93,D,8.0,1,Day,151243,1,1,1,0,0,0,2,5,Not at intersection,2,999,151243.0,O,2423840.7351,2346319.0422,SURF COAST,SOUTH WESTERN REGION,Country,-38.38157,144.12848,3230.0
22003004568,21/01/2003,19.20.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,73,D,8.0,1,Day,159317,1,1,0,1,0,0,1,5,Not at intersection,3,100,159317.0,N,2252292.833,2398472.877,SOUTHERN GRAMPIANS,SOUTH WESTERN REGION,Country,-37.881859999999996,142.18378,3300.0
22003004586,19/01/2003,00.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,58,G,8.0,5,Dark No street lights,182130,1,1,0,1,0,0,2,5,Not at intersection,3,100,182130.0,N,2405466.973,2453432.846,HEPBURN,WESTERN REGION,Country,-37.41488,143.93198,3364.0
22003006238,17/02/2003,17.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,71,F,4.0,1,Day,188163,1,1,1,0,0,0,2,5,Not at intersection,2,100,188163.0,N,2174847.171,2419845.137,GLENELG,SOUTH WESTERN REGION,Country,-37.66557,141.31347,3311.0
22003008305,3/03/2003,11.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,92,E,8.0,1,Day,151279,1,1,0,1,0,0,2,5,Not at intersection,3,100,151279.0,N,2391467.756,2340673.811,COLAC OTWAY,SOUTH WESTERN REGION,Country,-38.42917,143.75721000000001,3243.0
22003008559,9/03/2003,18.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,92,C,7.0,1,Day,159336,1,2,1,0,0,1,1,1,Cross intersection,2,100,159336.0,N,2380699.589,2352643.675,COLAC OTWAY,SOUTH WESTERN REGION,Country,-38.320040000000006,143.63589,3249.0
22003010220,15/03/2003,21.45.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,MEL,40.0,330,J,1.0,2,Dusk/Dawn,143311,1,1,0,1,0,0,2,5,Not at intersection,3,100,143311.0,N,2462365.971,2432092.402,MELTON,METROPOLITAN NORTH WEST REGION,Country,-37.61119,144.57372,3337.0
22003011100,23/03/2003,01.15.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,59,D,6.0,5,Dark No street lights,182169,1,1,0,1,0,0,1,5,Not at intersection,3,100,182169.0,N,2425743.156,2466417.316,HEPBURN,WESTERN REGION,Country,-37.2997,144.16234,3461.0
22003011418,17/03/2003,21.20.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,71,D,8.0,5,Dark No street lights,158339,1,2,0,2,0,0,1,5,Not at intersection,3,100,158339.0,N,2163428.156,2390782.152,GLENELG,SOUTH WESTERN REGION,Country,-37.92317,141.1709,3304.0
22003012551,31/03/2003,19.35.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,565,P,9.0,5,Dark No street lights,53395,1,1,0,1,0,0,2,2,T intersection,3,60,53395.0,I,2394956.237,2436316.416,BALLARAT,WESTERN REGION,Large Provincial Cities,-37.56798,143.81083,3350.0
22003014508,26/04/2003,12.55.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,56,B,4.0,1,Day,22996,1,1,1,0,0,0,1,5,Not at intersection,2,100,22996.0,N,2286763.764,2477689.391,ARARAT,WESTERN REGION,Country,-37.17682,142.59822,3381.0
22003014543,28/04/2003,18.45.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,59,D,9.0,3,Dark Street lights on,182188,1,1,0,1,0,0,2,5,Not at intersection,3,100,182188.0,N,2423598.084,2449281.301,MOORABOOL,WESTERN REGION,Country,-37.45394,144.13638999999998,3461.0
22003014550,3/05/2003,19.15.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,575,L,6.0,5,Dark No street lights,159362,1,1,0,1,0,0,1,5,Not at intersection,3,100,159362.0,N,2383671.215,2425643.208,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.66281,143.68142,3351.0
22003014984,18/04/2003,13.00.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,71,F,4.0,1,Day,158343,1,1,1,0,0,0,2,5,Not at intersection,2,100,158343.0,N,2173069.549,2417842.03,GLENELG,SOUTH WESTERN REGION,Country,-37.682990000000004,141.29245,3311.0
22003016571,11/05/2003,08.00.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,93,C,9.0,1,Day,151371,1,1,1,0,0,0,1,5,Not at intersection,2,80,151371.0,N,2422867.935,2339087.85,SURF COAST,SOUTH WESTERN REGION,Country,-38.44662,144.11658,3231.0
22003018589,2/06/2003,06.00.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,88,B,2.0,5,Dark No street lights,186064,1,1,0,1,0,0,1,5,Not at intersection,3,100,186064.0,N,2199591.643,2381283.796,GLENELG,SOUTH WESTERN REGION,Country,-38.02109,141.57806000000002,3303.0
22003019121,9/06/2003,13.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,57,J,2.0,1,Day,182222,1,1,0,1,0,0,1,5,Not at intersection,3,100,182222.0,N,2361768.443,2494139.982,PYRENEES,WESTERN REGION,Country,-37.042640000000006,143.44586999999999,3467.0
22003019245,8/06/2003,14.30.00,3,Struck animal,1,Sunday,167,STRUCK ANIMAL                        ,VCS,9.0,55,G,2.0,1,Day,180735,1,1,0,1,0,0,2,5,Not at intersection,3,100,180735.0,N,2263318.449,2495120.656,NORTHERN GRAMPIANS,WESTERN REGION,Country,-37.01417,142.33976,3401.0
22003020719,17/06/2003,06.20.00,3,Struck animal,3,Tuesday,167,STRUCK ANIMAL                        ,VCS,9.0,76,F,8.0,5,Dark No street lights,151410,1,1,0,1,0,0,2,5,Not at intersection,3,100,151410.0,N,2395744.018,2396094.742,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.93045,143.81408000000002,3330.0
22003020878,2/06/2003,10.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,91,B,6.0,1,Day,23876,1,1,1,0,0,0,2,5,Not at intersection,2,100,23876.0,N,2326524.124,2355601.778,CORANGAMITE,SOUTH WESTERN REGION,Country,-38.28482,143.01728,3266.0
22003022308,30/06/2003,05.30.00,3,Struck animal,2,Monday,167,STRUCK ANIMAL                        ,VCS,9.0,89,J,7.0,5,Dark No street lights,186069,1,1,0,1,0,0,1,5,Not at intersection,3,80,186069.0,N,2278401.93,2347569.547,WARRNAMBOOL,SOUTH WESTERN REGION,Country,-38.34686,142.46507,3280.0
22003024222,19/07/2003,02.50.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,91,F,6.0,5,Dark No street lights,186075,1,2,0,2,0,0,1,5,Not at intersection,3,100,186075.0,N,2347023.265,2359504.183,CORANGAMITE,SOUTH WESTERN REGION,Country,-38.25329,143.25234,3260.0
22003024405,18/07/2003,23.45.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,76,E,5.0,5,Dark No street lights,186076,1,1,0,1,0,0,1,5,Not at intersection,3,100,186076.0,N,2393799.434,2418542.32,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-37.727990000000005,143.79519,3352.0
22003025603,30/07/2003,18.00.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,MEL,40.0,419,E,7.0,5,Dark No street lights,151452,1,1,0,1,0,0,1,5,Not at intersection,3,100,151452.0,N,2433359.642,2385524.54,GOLDEN PLAINS,SOUTH WESTERN REGION,Country,-38.029140000000005,144.24098,3331.0
22003026722,2/08/2003,10.50.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,VCS,9.0,76,G,4.0,1,Day,23858,1,1,0,1,0,0,2,5,Not at intersection,3,80,23858.0,N,2403893.859,2423650.519,BALLARAT,WESTERN REGION,Country,-37.68306,143.91036,3352.0
22003028745,27/08/2003,05.50.00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL                        ,VCS,9.0,90,H,9.0,5,Dark No street lights,158222,1,1,1,0,0,0,1,5,Not at intersection,2,100,158222.0,N,2320423.894,2334127.398,CORANGAMITE,SOUTH WESTERN REGION,Country,-38.47704,142.94228,3268.0
22003029463,16/08/2003,16.40.00,3,Struck animal,7,Saturday,167,STRUCK ANIMAL                        ,MEL,40.0,56,B,5.0,1,Day,48589,1,1,0,1,0,0,1,2,T intersection,3,60,48589.0,I,2490756.645,2406178.082,HOBSONS BAY,METROPOLITAN NORTH WEST REGION,Metropolitan Excluding CBD,-37.8454,144.89498,3015.0
22003029494,5/09/2003,03.30.00,3,Struck animal,6,Friday,167,STRUCK ANIMAL                        ,VCS,9.0,59,C,9.0,5,Dark No street lights,149462,1,1,0,1,0,0,1,5,Not at intersection,3,100,149462.0,N,2422385.227,2451035.072,MOORABOOL,WESTERN REGION,Country,-37.43804,144.12286,3461.0
